h3,counts,min_depth,max_depth,salinity,min_salinity,max_salinity,temperature,min_temperature,max_temperature,oxygen,min_oxygen,max_oxygen,latitude,longitude
84df429ffffffff,2,2076.0,2076.0,,,,,,,,,,-55.27786,-64.96155
84df42bffffffff,27,9.0,614.0,,,,,,,,,,-54.89652,-64.96885
84df433ffffffff,8,120.0,120.0,,,,,,,,,,-53.76488,-64.98975
84df435ffffffff,3,110.0,117.0,,,,,,,,,,-54.30572,-64.37755
84df437ffffffff,4,110.0,110.0,,,,,,,,,,-53.92939,-64.39153
84df439ffffffff,1,75.0,75.0,,,,,,,,,,-54.34799,-65.58117
84df43dffffffff,12,84.0,118.0,,,,,,,,,,-54.51724,-64.97599
84df463ffffffff,1,2468.0,2468.0,,,,,,,,,,-55.48826,-65.58182
84df469ffffffff,41,439.0,439.0,,,,,,,,,,-56.08059,-66.21752
84df46bffffffff,1,115.0,115.0,,,,,,,,,,-55.69572,-66.20939
84df485ffffffff,2,116.0,116.0,,,,,,,,,,-52.48912,-65.58018
84df4a5ffffffff,2,229.0,229.0,,,,,,,,,,-52.60271,-63.86654
84df4a9ffffffff,3,128.0,128.0,,,,,,,,,,-52.6521,-65.00923
84df4c1ffffffff,3,86.0,86.0,,,,,,,,,,-53.08532,-67.3106
84df4c5ffffffff,9,80.0,96.0,,,,,,,,,,-53.25826,-66.74117
84df4c7ffffffff,2,86.0,92.0,,,,,,,,,,-52.88914,-66.72778
84df4d5ffffffff,2,82.0,82.0,,,,,,,,,,-52.352,-67.27157
84df4dbffffffff,1,45.0,45.0,,,,,,,,,,-52.00644,-68.36485
84df4e3ffffffff,3,108.0,108.0,,,,,,,,,,-52.85667,-65.58037
84df4e5ffffffff,5,122.0,122.0,,,,,,,,,,-53.39184,-64.99639
84df51bffffffff,5,904.0,904.0,,,,,,,,,,-55.01047,-63.11509
84df533ffffffff,4,429.0,429.0,,,,,,,,,,-54.86436,-60.6512
84df54dffffffff,1,915.0,915.0,,,,,,,,,,-57.3363,-62.92153
84df595ffffffff,1,305.0,305.0,,,,,,,,,,-52.69197,-62.13335
84df5a5ffffffff,7,854.0,854.0,,,,,,,,,,-53.63991,-59.63916
84df5a7ffffffff,3,591.0,591.0,,,,,,,,,,-53.26651,-59.70786
84df5bdffffffff,1,442.0,442.0,,,,,,,,,,-52.98432,-60.93326
84df5c1ffffffff,2,284.0,284.0,,,,,,,,,,-54.25134,-63.17345
84df5c7ffffffff,4,403.0,403.0,,,,,,,,,,-54.03111,-62.58927
84df5c9ffffffff,17,84.0,136.0,,,,,,,,,,-54.46904,-63.76478
84df5cbffffffff,6,270.0,270.0,,,,,,,,,,-54.09158,-63.78609
84df5e9ffffffff,7,274.0,274.0,,,,,,,,,,-54.56324,-61.92662
84df615ffffffff,1,174.0,174.0,,,,,,,,,,-55.52597,-70.54655
84df66bffffffff,1,3762.0,3762.0,,,,,,,,,,-57.05799,-70.80361
84df681ffffffff,1,267.0,267.0,,,,,,,,,,-53.65466,-70.25858
84df689ffffffff,2,40.0,82.0,,,,,,,,,,-53.80404,-70.83389
